slice_feature,slice_value,n,observed_approval_rate,mean_predicted_approval_probability,auto_decision_rate,review_rate,auto_accuracy,error_rate,false_approval_rate,false_rejection_rate,ece,is_small_slice
age_band,"(20.999, 32.0]",64,0.71875,0.7119491771291717,0.65625,0.34375,1.0,0.09375,0.0625,0.03125,0.057011962773305586,False
age_band,"(32.0, 44.0]",66,0.696969696969697,0.7352793242637629,0.6515151515151515,0.3484848484848485,0.9534883720930233,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.09665930182130202,False
age_band,"(44.0, 53.0]",64,0.65625,0.6736221878523554,0.734375,0.265625,0.9787234042553191,0.09375,0.0625,0.03125,0.04184721105450615,False
age_band,"(53.0, 64.0]",56,0.8571428571428571,0.8147130891736512,0.75,0.25,0.9761904761904762,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.07613284600260364,False
annual_income_band,"(113751.75, 149508.0]",63,0.7936507936507936,0.8319289453995213,0.8253968253968254,0.1746031746031746,0.9615384615384616,0.06349206349206349,0.06349206349206349,0.0,0.04100784385734517,False
annual_income_band,"(20154.999, 45771.25]",63,0.5396825396825397,0.6309924236553385,0.5714285714285714,0.42857142857142855,0.9444444444444444,0.15873015873015872,0.12698412698412698,0.031746031746031744,0.09130988397279872,False
annual_income_band,"(45771.25, 82358.0]",62,0.7903225806451613,0.6832524008723964,0.6129032258064516,0.3870967741935484,1.0,0.14516129032258066,0.03225806451612903,0.11290322580645161,0.10707017977276478,False
annual_income_band,"(82358.0, 113751.75]",62,0.7903225806451613,0.7790845266033197,0.7741935483870968,0.22580645161290322,1.0,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.04311230710970953,False
credit_score_band,"(301.999, 439.25]",63,0.5238095238095238,0.49907091095656164,0.5079365079365079,0.49206349206349204,1.0,0.15873015873015872,0.07936507936507936,0.07936507936507936,0.03760331977230345,False
credit_score_band,"(439.25, 566.5]",62,0.5806451612903226,0.6944284968414368,0.7096774193548387,0.2903225806451613,0.9318181818181818,0.16129032258064516,0.14516129032258066,0.016129032258064516,0.11378333555111433,False
credit_score_band,"(566.5, 699.75]",62,0.8548387096774194,0.8122789608196465,0.6774193548387096,0.3225806451612903,0.9761904761904762,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.07920515502095862,False
credit_score_band,"(699.75, 847.0]",63,0.9523809523809523,0.9201842220428574,0.8888888888888888,0.1111111111111111,1.0,0.015873015873015872,0.0,0.015873015873015872,0.03378597237851459,False
employment_status,Employed,81,0.7777777777777778,0.8228507072412206,0.7160493827160493,0.2839506172839506,0.9655172413793104,0.1111111111111111,0.09876543209876543,0.012345679012345678,0.05735202789824629,False
employment_status,Self-employed,86,0.8604651162790697,0.8507082598865519,0.7325581395348837,0.26744186046511625,0.9841269841269841,0.09302325581395349,0.046511627906976744,0.046511627906976744,0.054809640096490475,False
employment_status,Unemployed,83,0.5421686746987951,0.5182785315321474,0.6385542168674698,0.3614457831325301,0.9811320754716981,0.12048192771084337,0.04819277108433735,0.07228915662650602,0.04387845362020105,False
gender,Female,121,0.7355371900826446,0.7200753787393874,0.7355371900826446,0.2644628099173554,0.9662921348314607,0.08264462809917356,0.03305785123966942,0.049586776859504134,0.04232616269093536,False
gender,Male,129,0.7209302325581395,0.7418590304378658,0.6589147286821705,0.34108527131782945,0.9882352941176471,0.13178294573643412,0.09302325581395349,0.03875968992248062,0.033530187830608425,False
marital_status,Divorced,74,0.7432432432432432,0.7321311914894104,0.6891891891891891,0.3108108108108108,0.9803921568627451,0.0945945945945946,0.04054054054054054,0.05405405405405406,0.02638131243155312,False
marital_status,Married,89,0.7415730337078652,0.7416888003912749,0.6629213483146067,0.33707865168539325,0.9830508474576272,0.11235955056179775,0.07865168539325842,0.033707865168539325,0.04959107212653169,False
marital_status,Single,87,0.7011494252873564,0.7200106247001233,0.735632183908046,0.26436781609195403,0.96875,0.11494252873563218,0.06896551724137931,0.04597701149425287,0.039810617180424585,False
